Name,Name_c,Type,Address,Region,Town,Phone,Feature,Description
八德區 Hot Spring,八德區溫泉,溫泉區,"No.103, 八德區, 桃園市 光復路 73號",桃園市,八德區,886-3-6695319,動物展示,"A well-known 溫泉區 in 八德區, famous for its 動物展示."
永和區 Scenic Area,永和區溫泉,自然景觀,"No.54, 永和區, 新北市 中正路 82號",新北市,永和區,886-3-4444947,海岸線,"A well-known 自然景觀 in 永和區, famous for its 海岸線."
中西區 Scenic Area,中西區觀光景點,主題樂園,"No.273, 中西區, 台南市 中正路 99號",台南市,中西區,886-4-7413690,夜市小吃,"A well-known 主題樂園 in 中西區, famous for its 夜市小吃."
苓雅區 Trailhead,苓雅區登山口,文化古蹟,"No.190, 苓雅區, 高雄市 建國路 36號",高雄市,苓雅區,886-3-4526599,動物展示,"A well-known 文化古蹟 in 苓雅區, famous for its 動物展示."
中和區 Hot Spring,中和區觀光景點,自然景觀,"No.221, 中和區, 新北市 信義路 164號",新北市,中和區,886-8-4264924,高山景觀,"A well-known 自然景觀 in 中和區, famous for its 高山景觀."
安平區 Trailhead,安平區溫泉,博物館,"No.95, 安平區, 台南市 和平路 261號",台南市,安平區,886-3-3419117,兒童遊樂設施,"A well-known 博物館 in 安平區, famous for its 兒童遊樂設施."
東區 Trailhead,東區登山口,主題樂園,"No.221, 東區, 台中市 光復路 134號",台中市,東區,886-6-6496137,瀑布,"A well-known 主題樂園 in 東區, famous for its 瀑布."
東區 Tourist Spot,東區溫泉,自然景觀,"No.212, 東區, 台南市 光復路 194號",台南市,東區,886-4-3604130,夜市小吃,"A well-known 自然景觀 in 東區, famous for its 夜市小吃."
卑南鄉 Scenic Area,卑南鄉溫泉,觀光工廠,"No.125, 卑南鄉, 台東縣 光復路 95號",台東縣,卑南鄉,886-8-3103176,古廟,"A well-known 觀光工廠 in 卑南鄉, famous for its 古廟."
永康區 Hot Spring,永康區溫泉,文化古蹟,"No.116, 永康區, 台南市 光復路 108號",台南市,永康區,886-4-3275065,高山景觀,"A well-known 文化古蹟 in 永康區, famous for its 高山景觀."
平鎮區 Trailhead,平鎮區溫泉,溫泉區,"No.150, 平鎮區, 桃園市 中正路 20號",桃園市,平鎮區,886-8-5296348,高山景觀,"A well-known 溫泉區 in 平鎮區, famous for its 高山景觀."
萬華區 Scenic Area,萬華區觀光景點,夜市,"No.265, 萬華區, 台北市 信義路 238號",台北市,萬華區,886-6-8815539,歷史建築,"A well-known 夜市 in 萬華區, famous for its 歷史建築."
吉安鄉 Trailhead,吉安鄉觀光景點,博物館,"No.167, 吉安鄉, 花蓮縣 中正路 47號",花蓮縣,吉安鄉,886-6-6410878,夜市小吃,"A well-known 博物館 in 吉安鄉, famous for its 夜市小吃."
中西區 Trailhead,中西區觀光景點,博物館,"No.167, 中西區, 台南市 仁愛路 232號",台南市,中西區,886-3-9767331,海岸線,"A well-known 博物館 in 中西區, famous for its 海岸線."
北屯區 Hot Spring,北屯區登山口,登山步道,"No.87, 北屯區, 台中市 成功路 279號",台中市,北屯區,886-2-1520777,瀑布,"A well-known 登山步道 in 北屯區, famous for its 瀑布."
花蓮市 Hot Spring,花蓮市溫泉,文化古蹟,"No.121, 花蓮市, 花蓮縣 和平路 293號",花蓮縣,花蓮市,886-7-3641795,兒童遊樂設施,"A well-known 文化古蹟 in 花蓮市, famous for its 兒童遊樂設施."
北區 Old Street,北區登山口,觀光工廠,"No.62, 北區, 台南市 中正路 147號",台南市,北區,886-3-7881939,海岸線,"A well-known 觀光工廠 in 北區, famous for its 海岸線."
新莊區 Hot Spring,新莊區登山口,觀光工廠,"No.30, 新莊區, 新北市 光復路 294號",新北市,新莊區,886-7-8340094,夜市小吃,"A well-known 觀光工廠 in 新莊區, famous for its 夜市小吃."
成功鎮 Old Street,成功鎮風景區,夜市,"No.71, 成功鎮, 台東縣 光復路 249號",台東縣,成功鎮,886-7-9565360,瀑布,"A well-known 夜市 in 成功鎮, famous for its 瀑布."
北區 Scenic Area,北區觀光景點,溫泉區,"No.43, 北區, 台中市 中正路 288號",台中市,北區,886-2-3676878,海岸線,"A well-known 溫泉區 in 北區, famous for its 海岸線."
鳳山區 Old Street,鳳山區登山口,博物館,"No.231, 鳳山區, 高雄市 成功路 114號",高雄市,鳳山區,886-4-3694599,夜市小吃,"A well-known 博物館 in 鳳山區, famous for its 夜市小吃."
信義區 Trailhead,信義區老街,觀光工廠,"No.163, 信義區, 台北市 建國路 23號",台北市,信義區,886-9-6814648,歷史建築,"A well-known 觀光工廠 in 信義區, famous for its 歷史建築."
信義區 Hot Spring,信義區風景區,溫泉區,"No.1, 信義區, 台北市 和平路 235號",台北市,信義區,886-7-2899140,溫泉池,"A well-known 溫泉區 in 信義區, famous for its 溫泉池."
中和區 Hot Spring,中和區登山口,文化古蹟,"No.248, 中和區, 新北市 民生路 253號",新北市,中和區,886-3-1946539,溫泉池,"A well-known 文化古蹟 in 中和區, famous for its 溫泉池."
卑南鄉 Trailhead,卑南鄉老街,自然景觀,"No.205, 卑南鄉, 台東縣 成功路 82號",台東縣,卑南鄉,886-3-5524018,高山景觀,"A well-known 自然景觀 in 卑南鄉, famous for its 高山景觀."
苓雅區 Tourist Spot,苓雅區觀光景點,登山步道,"No.66, 苓雅區, 高雄市 信義路 174號",高雄市,苓雅區,886-3-7713721,夜市小吃,"A well-known 登山步道 in 苓雅區, famous for its 夜市小吃."
士林區 Hot Spring,士林區觀光景點,溫泉區,"No.74, 士林區, 台北市 信義路 253號",台北市,士林區,886-2-4672303,溫泉池,"A well-known 溫泉區 in 士林區, famous for its 溫泉池."
前鎮區 Hot Spring,前鎮區老街,自然景觀,"No.119, 前鎮區, 高雄市 信義路 279號",高雄市,前鎮區,886-2-5158289,夜市小吃,"A well-known 自然景觀 in 前鎮區, famous for its 夜市小吃."
新莊區 Scenic Area,新莊區登山口,自然景觀,"No.124, 新莊區, 新北市 光復路 140號",新北市,新莊區,886-4-5147865,海岸線,"A well-known 自然景觀 in 新莊區, famous for its 海岸線."
中山區 Old Street,中山區風景區,主題樂園,"No.95, 中山區, 台北市 信義路 56號",台北市,中山區,886-9-5996798,海岸線,"A well-known 主題樂園 in 中山區, famous for its 海岸線."
板橋區 Scenic Area,板橋區老街,博物館,"No.185, 板橋區, 新北市 建國路 5號",新北市,板橋區,886-4-7014907,溫泉池,"A well-known 博物館 in 板橋區, famous for its 溫泉池."
長濱鄉 Trailhead,長濱鄉風景區,溫泉區,"No.10, 長濱鄉, 台東縣 建國路 106號",台東縣,長濱鄉,886-3-6056906,溫泉池,"A well-known 溫泉區 in 長濱鄉, famous for its 溫泉池."
鳳山區 Hot Spring,鳳山區老街,文化古蹟,"No.160, 鳳山區, 高雄市 和平路 64號",高雄市,鳳山區,886-3-3984681,歷史建築,"A well-known 文化古蹟 in 鳳山區, famous for its 歷史建築."
卑南鄉 Tourist Spot,卑南鄉觀光景點,觀光工廠,"No.46, 卑南鄉, 台東縣 仁愛路 179號",台東縣,卑南鄉,886-5-4002742,歷史建築,"A well-known 觀光工廠 in 卑南鄉, famous for its 歷史建築."
壽豐鄉 Tourist Spot,壽豐鄉風景區,博物館,"No.155, 壽豐鄉, 花蓮縣 建國路 205號",花蓮縣,壽豐鄉,886-9-7840481,夜市小吃,"A well-known 博物館 in 壽豐鄉, famous for its 夜市小吃."
士林區 Tourist Spot,士林區老街,登山步道,"No.271, 士林區, 台北市 中正路 13號",台北市,士林區,886-9-1484507,夜市小吃,"A well-known 登山步道 in 士林區, famous for its 夜市小吃."
安平區 Old Street,安平區風景區,主題樂園,"No.105, 安平區, 台南市 民生路 49號",台南市,安平區,886-4-2552903,高山景觀,"A well-known 主題樂園 in 安平區, famous for its 高山景觀."
中和區 Hot Spring,中和區風景區,自然景觀,"No.255, 中和區, 新北市 光復路 73號",新北市,中和區,886-2-3170419,海岸線,"A well-known 自然景觀 in 中和區, famous for its 海岸線."
南區 Scenic Area,南區登山口,文化古蹟,"No.262, 南區, 台中市 仁愛路 196號",台中市,南區,886-7-4183371,歷史建築,"A well-known 文化古蹟 in 南區, famous for its 歷史建築."
萬華區 Old Street,萬華區觀光景點,登山步道,"No.76, 萬華區, 台北市 光復路 226號",台北市,萬華區,886-6-4186070,歷史建築,"A well-known 登山步道 in 萬華區, famous for its 歷史建築."
北區 Old Street,北區溫泉,博物館,"No.277, 北區, 台中市 和平路 216號",台中市,北區,886-9-2477887,歷史建築,"A well-known 博物館 in 北區, famous for its 歷史建築."
信義區 Scenic Area,信義區溫泉,自然景觀,"No.105, 信義區, 台北市 中正路 25號",台北市,信義區,886-9-1970925,瀑布,"A well-known 自然景觀 in 信義區, famous for its 瀑布."
蘆竹區 Scenic Area,蘆竹區風景區,觀光工廠,"No.268, 蘆竹區, 桃園市 中正路 92號",桃園市,蘆竹區,886-6-1436257,兒童遊樂設施,"A well-known 觀光工廠 in 蘆竹區, famous for its 兒童遊樂設施."
士林區 Old Street,士林區觀光景點,文化古蹟,"No.12, 士林區, 台北市 成功路 63號",台北市,士林區,886-2-3389148,高山景觀,"A well-known 文化古蹟 in 士林區, famous for its 高山景觀."
平鎮區 Hot Spring,平鎮區登山口,登山步道,"No.12, 平鎮區, 桃園市 建國路 43號",桃園市,平鎮區,886-7-2819983,歷史建築,"A well-known 登山步道 in 平鎮區, famous for its 歷史建築."
南區 Trailhead,南區溫泉,自然景觀,"No.282, 南區, 台中市 中正路 8號",台中市,南區,886-5-7021274,動物展示,"A well-known 自然景觀 in 南區, famous for its 動物展示."
吉安鄉 Trailhead,吉安鄉老街,夜市,"No.71, 吉安鄉, 花蓮縣 成功路 158號",花蓮縣,吉安鄉,886-9-1363590,瀑布,"A well-known 夜市 in 吉安鄉, famous for its 瀑布."
壽豐鄉 Tourist Spot,壽豐鄉觀光景點,博物館,"No.147, 壽豐鄉, 花蓮縣 光復路 31號",花蓮縣,壽豐鄉,886-6-6857688,兒童遊樂設施,"A well-known 博物館 in 壽豐鄉, famous for its 兒童遊樂設施."
平鎮區 Hot Spring,平鎮區登山口,登山步道,"No.96, 平鎮區, 桃園市 仁愛路 88號",桃園市,平鎮區,886-4-9946853,歷史建築,"A well-known 登山步道 in 平鎮區, famous for its 歷史建築."
苓雅區 Tourist Spot,苓雅區風景區,自然景觀,"No.42, 苓雅區, 高雄市 仁愛路 63號",高雄市,苓雅區,886-4-6818653,動物展示,"A well-known 自然景觀 in 苓雅區, famous for its 動物展示."
花蓮市 Trailhead,花蓮市登山口,自然景觀,"No.51, 花蓮市, 花蓮縣 民生路 278號",花蓮縣,花蓮市,886-9-6773417,海岸線,"A well-known 自然景觀 in 花蓮市, famous for its 海岸線."
新莊區 Scenic Area,新莊區老街,博物館,"No.120, 新莊區, 新北市 中正路 244號",新北市,新莊區,886-2-2330074,動物展示,"A well-known 博物館 in 新莊區, famous for its 動物展示."
前鎮區 Hot Spring,前鎮區老街,主題樂園,"No.72, 前鎮區, 高雄市 建國路 66號",高雄市,前鎮區,886-4-7806864,歷史建築,"A well-known 主題樂園 in 前鎮區, famous for its 歷史建築."
南區 Trailhead,南區觀光景點,主題樂園,"No.166, 南區, 台中市 中正路 267號",台中市,南區,886-5-1364368,高山景觀,"A well-known 主題樂園 in 南區, famous for its 高山景觀."
花蓮市 Tourist Spot,花蓮市老街,博物館,"No.242, 花蓮市, 花蓮縣 仁愛路 56號",花蓮縣,花蓮市,886-9-1517906,溫泉池,"A well-known 博物館 in 花蓮市, famous for its 溫泉池."
永康區 Scenic Area,永康區溫泉,觀光工廠,"No.145, 永康區, 台南市 建國路 193號",台南市,永康區,886-6-3551309,兒童遊樂設施,"A well-known 觀光工廠 in 永康區, famous for its 兒童遊樂設施."
中山區 Trailhead,中山區風景區,主題樂園,"No.2, 中山區, 台北市 信義路 177號",台北市,中山區,886-5-4995191,動物展示,"A well-known 主題樂園 in 中山區, famous for its 動物展示."
新城鄉 Trailhead,新城鄉溫泉,主題樂園,"No.138, 新城鄉, 花蓮縣 信義路 100號",花蓮縣,新城鄉,886-9-6000701,歷史建築,"A well-known 主題樂園 in 新城鄉, famous for its 歷史建築."
前鎮區 Old Street,前鎮區登山口,觀光工廠,"No.157, 前鎮區, 高雄市 民生路 280號",高雄市,前鎮區,886-3-1114335,海岸線,"A well-known 觀光工廠 in 前鎮區, famous for its 海岸線."
永康區 Hot Spring,永康區老街,主題樂園,"No.280, 永康區, 台南市 和平路 116號",台南市,永康區,886-9-5651788,海岸線,"A well-known 主題樂園 in 永康區, famous for its 海岸線."
信義區 Trailhead,信義區溫泉,主題樂園,"No.65, 信義區, 台北市 仁愛路 251號",台北市,信義區,886-8-6364827,兒童遊樂設施,"A well-known 主題樂園 in 信義區, famous for its 兒童遊樂設施."
蘆竹區 Tourist Spot,蘆竹區溫泉,博物館,"No.168, 蘆竹區, 桃園市 仁愛路 114號",桃園市,蘆竹區,886-9-3918493,歷史建築,"A well-known 博物館 in 蘆竹區, famous for its 歷史建築."
鳳山區 Trailhead,鳳山區登山口,登山步道,"No.299, 鳳山區, 高雄市 民生路 137號",高雄市,鳳山區,886-8-1980528,瀑布,"A well-known 登山步道 in 鳳山區, famous for its 瀑布."
安平區 Hot Spring,安平區溫泉,主題樂園,"No.32, 安平區, 台南市 建國路 47號",台南市,安平區,886-6-4331313,海岸線,"A well-known 主題樂園 in 安平區, famous for its 海岸線."
新城鄉 Tourist Spot,新城鄉登山口,觀光工廠,"No.292, 新城鄉, 花蓮縣 光復路 42號",花蓮縣,新城鄉,886-3-7712050,動物展示,"A well-known 觀光工廠 in 新城鄉, famous for its 動物展示."
左營區 Tourist Spot,左營區風景區,夜市,"No.75, 左營區, 高雄市 成功路 161號",高雄市,左營區,886-7-9151843,古廟,"A well-known 夜市 in 左營區, famous for its 古廟."
北屯區 Tourist Spot,北屯區觀光景點,文化古蹟,"No.65, 北屯區, 台中市 建國路 212號",台中市,北屯區,886-2-5326260,古廟,"A well-known 文化古蹟 in 北屯區, famous for its 古廟."
台東市 Hot Spring,台東市風景區,博物館,"No.285, 台東市, 台東縣 建國路 9號",台東縣,台東市,886-4-5498513,古廟,"A well-known 博物館 in 台東市, famous for its 古廟."
鳳山區 Trailhead,鳳山區觀光景點,博物館,"No.177, 鳳山區, 高雄市 中正路 121號",高雄市,鳳山區,886-2-2758430,兒童遊樂設施,"A well-known 博物館 in 鳳山區, famous for its 兒童遊樂設施."
士林區 Hot Spring,士林區老街,文化古蹟,"No.83, 士林區, 台北市 信義路 195號",台北市,士林區,886-3-6426451,夜市小吃,"A well-known 文化古蹟 in 士林區, famous for its 夜市小吃."
鹿野鄉 Tourist Spot,鹿野鄉登山口,博物館,"No.126, 鹿野鄉, 台東縣 信義路 215號",台東縣,鹿野鄉,886-6-4960724,高山景觀,"A well-known 博物館 in 鹿野鄉, famous for its 高山景觀."
平鎮區 Scenic Area,平鎮區觀光景點,主題樂園,"No.265, 平鎮區, 桃園市 和平路 74號",桃園市,平鎮區,886-8-6170019,溫泉池,"A well-known 主題樂園 in 平鎮區, famous for its 溫泉池."
新城鄉 Old Street,新城鄉溫泉,文化古蹟,"No.257, 新城鄉, 花蓮縣 信義路 133號",花蓮縣,新城鄉,886-4-8269484,高山景觀,"A well-known 文化古蹟 in 新城鄉, famous for its 高山景觀."
鳳山區 Trailhead,鳳山區觀光景點,自然景觀,"No.86, 鳳山區, 高雄市 光復路 69號",高雄市,鳳山區,886-9-7927189,瀑布,"A well-known 自然景觀 in 鳳山區, famous for its 瀑布."
淡水區 Hot Spring,淡水區觀光景點,文化古蹟,"No.279, 淡水區, 新北市 中正路 132號",新北市,淡水區,886-2-1414273,海岸線,"A well-known 文化古蹟 in 淡水區, famous for its 海岸線."
八德區 Tourist Spot,八德區老街,溫泉區,"No.102, 八德區, 桃園市 成功路 252號",桃園市,八德區,886-4-9105410,溫泉池,"A well-known 溫泉區 in 八德區, famous for its 溫泉池."
長濱鄉 Scenic Area,長濱鄉風景區,主題樂園,"No.106, 長濱鄉, 台東縣 民生路 36號",台東縣,長濱鄉,886-5-9167372,瀑布,"A well-known 主題樂園 in 長濱鄉, famous for its 瀑布."
光復鄉 Scenic Area,光復鄉登山口,溫泉區,"No.89, 光復鄉, 花蓮縣 中正路 19號",花蓮縣,光復鄉,886-5-4405146,瀑布,"A well-known 溫泉區 in 光復鄉, famous for its 瀑布."
蘆竹區 Hot Spring,蘆竹區老街,溫泉區,"No.219, 蘆竹區, 桃園市 民生路 251號",桃園市,蘆竹區,886-4-5886942,動物展示,"A well-known 溫泉區 in 蘆竹區, famous for its 動物展示."
新城鄉 Trailhead,新城鄉溫泉,主題樂園,"No.199, 新城鄉, 花蓮縣 和平路 34號",花蓮縣,新城鄉,886-7-9660241,動物展示,"A well-known 主題樂園 in 新城鄉, famous for its 動物展示."
成功鎮 Hot Spring,成功鎮溫泉,文化古蹟,"No.241, 成功鎮, 台東縣 仁愛路 54號",台東縣,成功鎮,886-8-4631807,動物展示,"A well-known 文化古蹟 in 成功鎮, famous for its 動物展示."
長濱鄉 Old Street,長濱鄉溫泉,博物館,"No.253, 長濱鄉, 台東縣 建國路 277號",台東縣,長濱鄉,886-2-9397997,高山景觀,"A well-known 博物館 in 長濱鄉, famous for its 高山景觀."
北區 Scenic Area,北區登山口,自然景觀,"No.30, 北區, 台南市 成功路 61號",台南市,北區,886-9-4143454,古廟,"A well-known 自然景觀 in 北區, famous for its 古廟."
北區 Trailhead,北區老街,文化古蹟,"No.61, 北區, 台中市 仁愛路 41號",台中市,北區,886-7-2085279,歷史建築,"A well-known 文化古蹟 in 北區, famous for its 歷史建築."
中山區 Old Street,中山區風景區,觀光工廠,"No.288, 中山區, 台北市 中正路 229號",台北市,中山區,886-9-4091640,瀑布,"A well-known 觀光工廠 in 中山區, famous for its 瀑布."
中和區 Scenic Area,中和區溫泉,博物館,"No.22, 中和區, 新北市 光復路 152號",新北市,中和區,886-2-7588737,動物展示,"A well-known 博物館 in 中和區, famous for its 動物展示."
蘆竹區 Hot Spring,蘆竹區觀光景點,登山步道,"No.243, 蘆竹區, 桃園市 信義路 92號",桃園市,蘆竹區,886-9-6939938,瀑布,"A well-known 登山步道 in 蘆竹區, famous for its 瀑布."
桃園區 Tourist Spot,桃園區老街,溫泉區,"No.101, 桃園區, 桃園市 民生路 146號",桃園市,桃園區,886-8-9642674,動物展示,"A well-known 溫泉區 in 桃園區, famous for its 動物展示."
桃園區 Hot Spring,桃園區風景區,主題樂園,"No.3, 桃園區, 桃園市 成功路 223號",桃園市,桃園區,886-3-8024663,兒童遊樂設施,"A well-known 主題樂園 in 桃園區, famous for its 兒童遊樂設施."
淡水區 Tourist Spot,淡水區溫泉,自然景觀,"No.89, 淡水區, 新北市 光復路 266號",新北市,淡水區,886-6-7747339,瀑布,"A well-known 自然景觀 in 淡水區, famous for its 瀑布."
桃園區 Old Street,桃園區登山口,文化古蹟,"No.285, 桃園區, 桃園市 仁愛路 222號",桃園市,桃園區,886-2-4194614,夜市小吃,"A well-known 文化古蹟 in 桃園區, famous for its 夜市小吃."
蘆竹區 Trailhead,蘆竹區登山口,自然景觀,"No.291, 蘆竹區, 桃園市 仁愛路 2號",桃園市,蘆竹區,886-3-4590712,動物展示,"A well-known 自然景觀 in 蘆竹區, famous for its 動物展示."
安平區 Old Street,安平區風景區,主題樂園,"No.42, 安平區, 台南市 民生路 202號",台南市,安平區,886-2-5621580,夜市小吃,"A well-known 主題樂園 in 安平區, famous for its 夜市小吃."
新城鄉 Hot Spring,新城鄉觀光景點,觀光工廠,"No.246, 新城鄉, 花蓮縣 民生路 20號",花蓮縣,新城鄉,886-2-9015302,歷史建築,"A well-known 觀光工廠 in 新城鄉, famous for its 歷史建築."
桃園區 Trailhead,桃園區溫泉,登山步道,"No.29, 桃園區, 桃園市 建國路 70號",桃園市,桃園區,886-6-2117390,海岸線,"A well-known 登山步道 in 桃園區, famous for its 海岸線."
前鎮區 Hot Spring,前鎮區登山口,觀光工廠,"No.144, 前鎮區, 高雄市 光復路 299號",高雄市,前鎮區,886-5-9376804,溫泉池,"A well-known 觀光工廠 in 前鎮區, famous for its 溫泉池."
壽豐鄉 Hot Spring,壽豐鄉觀光景點,夜市,"No.293, 壽豐鄉, 花蓮縣 成功路 254號",花蓮縣,壽豐鄉,886-8-7781750,瀑布,"A well-known 夜市 in 壽豐鄉, famous for its 瀑布."
桃園區 Old Street,桃園區觀光景點,主題樂園,"No.212, 桃園區, 桃園市 成功路 128號",桃園市,桃園區,886-3-2006536,夜市小吃,"A well-known 主題樂園 in 桃園區, famous for its 夜市小吃."
吉安鄉 Scenic Area,吉安鄉老街,夜市,"No.255, 吉安鄉, 花蓮縣 光復路 56號",花蓮縣,吉安鄉,886-7-4651460,溫泉池,"A well-known 夜市 in 吉安鄉, famous for its 溫泉池."
左營區 Tourist Spot,左營區風景區,登山步道,"No.199, 左營區, 高雄市 中正路 2號",高雄市,左營區,886-4-3931762,溫泉池,"A well-known 登山步道 in 左營區, famous for its 溫泉池."
成功鎮 Scenic Area,成功鎮溫泉,主題樂園,"No.275, 成功鎮, 台東縣 和平路 77號",台東縣,成功鎮,886-3-3096435,高山景觀,"A well-known 主題樂園 in 成功鎮, famous for its 高山景觀."
